,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
269.0,12.0,"тело, человек, врач, время, исследование, болезнь, здоровье, мозг, помощь, учёный",,
270.0,20.0,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель",,
271.0,24.0,"дом, город, место, улица, дорога, здание, строительство, квартира, деревня, метр",,
272.0,8.0,"закон, право, документ, решение, суд, иметь, сотрудник, мочь, получить, лицо",,
273.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
274.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
275.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
276.0,12.0,"тело, человек, врач, время, исследование, болезнь, здоровье, мозг, помощь, учёный",,
277.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",,
278.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",,
279.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",,
280.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
281.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
282.0,23.0,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть",,
283.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
284.0,3.0,"работа, школа, работать, заниматься, учиться, учитель, курс, образование, знать, класс",,
285.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
286.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
287.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
